Date and Time of initial call,Date and time of Ranger response,borough,property,location,batch_geocode_descrip,Latitude,Longitude,loc_acc,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311SR_Number,final_ranger_action,number_animals,PEP_Response,Animal_Monitored,Rehabilitator,Hours_spent_monitoring,Police_Response,ESU_Response,ACC_Intake_Number,
01/07/2019 12:20:00 PM,01/07/2019 12:21:00 PM,Queens,Bowne Park,Around Bowne Pond,"Bowne, East Amwell, NJ, USA",40.41983,-74.91267,doubt,Red-Eared Slider,Central,Invasive,N/A,0.5,Adult,Terrestrial Reptile or Amphibian,,Unfounded,3,false,false,,,false,false,,
06/09/2019 12:50:00 PM,06/09/2019 12:55:00 PM,Staten Island,Silver Lake Park,Bridge,"Old Bridge, NJ, USA",40.392992,-74.324024,doubt,Red-Eared Slider,Employee,Invasive,Injured,2,Adult,Terrestrial Reptile or Amphibian,1-1-1724490913,ACC,2,true,false,,,false,false,65379 65380,
09/30/2018 08:55:00 AM,09/30/2018 08:55:00 AM,Staten Island,Dongan Playground,Playground,"Haire Playground, East Orange, NJ, USA",40.753677,-74.208878,doubt,Opossum,Central,Native,Injured,1,Adult,Small Mammals-non RVS,,Unfounded,1,false,false,,,false,false,,
10/09/2018 01:15:00 PM,10/09/2018 01:30:00 PM,Queens,Flushing Meadows Corona Park,Parks Academy,"Gordon Parks Academy Elementary School, East Orange, NJ, USA",40.760326,-74.200174,doubt,Downy Woodpecker,Central,Native,Injured,3.25,Juvenile,Birds,1-1-1625631511,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,,
03/22/2019 11:55:00 AM,03/22/2019 12:05:00 PM,Brooklyn,Owl's Head Park,Men's Bathroom,"Mens Bathroom and Changing Room, Mahwah, NJ, USA",41.059184,-74.173042,doubt,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,1-1-1696746580,Relocated/Condition Corrected,1,false,true,,0.5,false,false,,
09/02/2018 09:00:00 AM,09/02/2018 09:25:00 AM,Manhattan,Central Park,96th st. and West Drive,"96 Belmar Drive West, Staten Island, New York, NY, USA",40.579534,-74.156793,doubt,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,1-1-1612025711,Monitored Animal,1,false,true,,0.5,false,false,,
10/26/2018 04:50:00 PM,10/26/2018 05:16:00 PM,Staten Island,Willowbrook Park,Victory Blvd and Morani Street,"Willowbrook, Staten Island, New York, NY, USA",40.598737,-74.138503,doubt,Deer,Employee,Native,Injured,3,Adult,Deer,1-1-1636205992,ACC,1,false,true,,3,true,true,,
03/11/2019 12:00:00 PM,03/11/2019 01:56:00 PM,Staten Island,Historic Richmond Town,Creek behind Tavern,"Richmondtown, Staten Island, New York, NY, USA",40.569397,-74.131493,doubt,Canada Goose,Other,Native,N/A,0.25,Adult,Birds,,Unfounded,1,false,false,,0.25,false,false,,
02/27/2019 02:30:00 PM,02/27/2019 03:35:00 PM,Staten Island,Historic Richmond Town,Creek behind Tavern off of Richmond Rd,"Richmondtown, Staten Island, New York, NY, USA",40.569397,-74.131493,doubt,Canada Goose,Other,Native,N/A,0.25,Adult,Birds,1-1-1688515762,Unfounded,1,false,false,,,false,false,,
02/25/2019 01:19:00 PM,02/26/2019 10:56:00 AM,Staten Island,Historic Richmond town,In creek behind Richmond Tavern,"Richmondtown, Staten Island, New York, NY, USA",40.569397,-74.131493,doubt,Canada Goose,Public,Native,N/A,0.25,Adult,Birds,,Monitored Animal,1,false,true,,0.25,false,false,,
